"Sample date","Sweeney Finished","Sweeney Raw"
"08/31/2021",176.13,
"09/07/2021",,150.26
"09/13/2021",,274.17
"09/14/2021",190.46,
"09/20/2021",,286.53
"09/27/2021",,138.91
"09/28/2021",133.79,
"10/04/2021",,146.6
"10/11/2021",,177.62
"10/12/2021",169.86,196.62
"10/13/2021",173.86,
"10/18/2021",,103.13
"10/19/2021",93.2,100.93
"10/20/2021",107.74,
"10/25/2021",,110.04
"10/26/2021",123.98,
"11/01/2021",,252.61
"11/08/2021",,260.42
"11/09/2021",180.92,
"11/15/2021",,288.03
"11/22/2021",,231.93
"11/23/2021",217.8,
"11/29/2021",,272.05
"12/06/2021",,295.22
"12/07/2021",306.28,
"12/13/2021",,381.33
"12/20/2021",,265.85
"12/21/2021",88.33,
"12/28/2021",,307.64
"01/03/2022",,232.63
"01/04/2022",108.43,
"01/10/2022",,111.64
"01/18/2022",,52.64
"01/19/2022",28.35,
"01/24/2022",,110.46
"01/31/2022",,128.77
"02/01/2022",76.94,
"02/07/2022",,143.23
"02/21/2022",,168.06
"02/28/2022",,181
"03/01/2022",92.52,
"03/07/2022",,144.27
"03/14/2022",,89.11
"03/15/2022",69.56,
"03/21/2022",,37.33
"03/28/2022",,66.39
"03/29/2022",63.93,
"04/04/2022",,89.61
"04/11/2022",,107.81
"04/12/2022",84,
"04/18/2022",,102.99
"04/25/2022",,102.11
"04/26/2022",73,
"05/02/2022",,147
"05/09/2022",,143.64
"05/10/2022",34,
"05/16/2022",,110
"05/23/2022",,132
"05/24/2022",35,
"05/31/2022",,111
"06/06/2022",,85
"06/07/2022",35,
"06/13/2022",,111
"06/20/2022",,165
"06/21/2022",89,
"06/28/2022",,173
"07/05/2022",,171
"07/06/2022",126,
"07/11/2022",,187
"07/18/2022",,130
"07/19/2022",92,
"07/25/2022",,128
"08/01/2022",,134
"08/02/2022",140,
"08/08/2022",,156
"08/15/2022",,131
"08/16/2022",103,
"08/22/2022",,208
"08/29/2022",,168
"08/30/2022",139,
"09/12/2022",,145
"09/13/2022",128,
"09/29/2022",,100
"09/30/2022",0,
"10/03/2022",,208
"10/10/2022",,99
"10/11/2022",0,
"10/17/2022",,108
"10/24/2022",2,149
