System Name,County,System PWS ID,SYS_SAMPLE_CODE,SYS_LOC_CODE,LOC_TYPE,Sample Date,LAB_SDG,GenX_ng_L,PFOA_ng_L,PFOS_ng_L,year,Source Water Type,Population,PFBS_ng_L,PFNA_ng_L,PFHxS_ng_L
GRANDFATHER GOLF & COUNTRY CLU,AVERY,NC0106108,,,,10/19/2023,,ND,2.5,10.3,2023,Groundwater,250.0,1.4,ND,4.73
GRANDFATHER HOME SOUTH CAMPUS,AVERY,NC0106422,,,,10/19/2023,,ND,ND,ND,2023,Groundwater,99.0,ND,ND,ND
GRANNY SQUIRREL,CHEROKEE,NC0120109,,,,9/20/2023,,ND,ND,ND,2023,Groundwater,142.0,ND,ND,ND
GRANVILLE FAMILY PARK,GRANVILLE,NC0239103,,,,10/19/2023,,ND,1.15,1.6,2023,Groundwater,232.0,2.1,ND,1.02
GRANVILLE PINES MHP,GRANVILLE,NC0239124,,,,8/30/2023,,ND,5.9,1.37,2023,Groundwater,53.0,ND,ND,1.6
GREATER VISION ACADEMY,GUILFORD,NC3041119,,,,9/21/2023,,ND,1.29,1.31,2023,Groundwater,125.0,0.644,ND,ND
GREEN ACRES MHP,ROWAN,NC0180201,,,,9/19/2023,,ND,ND,ND,2023,Groundwater,71.0,ND,ND,ND
GREEN ACRES MHP,LENOIR,NC0454109,,,,11/17/2023,,ND,ND,ND,2023,Groundwater,229.0,ND,ND,ND
GREEN OAKS S/D,CABARRUS,NC0113158,,,,10/12/2023,,ND,3.77,6.42,2023,Groundwater,46.0,3.48,ND,2.81
GREEN PINES PARK,WAKE,NC0392223,,,,7/25/2023,,0.213,9.79,12.5,2023,Groundwater,66.0,4.78,ND,4.85
GREEN VALLEY MHP,HAYWOOD,NC0144489,,,,7/27/2023,,ND,ND,ND,2023,Groundwater,110.0,ND,ND,ND
GREGORY MEADOWS AT BELVOIR NO. 1,PITT,NC0474140,,,,7/27/2023,,ND,ND,ND,2023,Groundwater,124.0,ND,ND,ND
GREGORY MEADOWS AT BELVOIR NO. 2,PITT,NC0474142,,,,7/27/2023,,ND,ND,ND,2023,Groundwater,200.0,ND,ND,ND
GUILROCK WEST MHP,ROCKINGHAM,NC0279110,,,,9/5/2023,,ND,ND,ND,2023,Groundwater,100.0,ND,ND,ND
HAMPSTEAD PINES,PENDER,NC7071022,,,,8/7/2023,,ND,ND,ND,2023,Groundwater,178.0,ND,ND,ND
HAMPTON MHP,WATAUGA,NC0195111,,,,7/11/2023,,ND,3.21,3.83,2023,Groundwater,37.0,6.95,ND,1.17
HAPPY HOLLOW S/D,ROWAN,NC0180184,,,,8/14/2023,,ND,2.71,3.64,2023,Groundwater,112.0,ND,ND,1.46
HARMONY ESTATES S/D,MCDOWELL,NC0156136,,,,8/10/2023,,ND,ND,ND,2023,Groundwater,100.0,ND,ND,ND
HARNETT REGIONAL WATER,HARNETT,NC0343045,,,,8/16/2023,,0.411,9.22,18.4,2023,Surface Water,109415.0,7.09,1.38,4.3
HARRELLS WATER CORP,SAMPSON,NC0382030,,,,8/8/2023,,ND,ND,ND,2023,Groundwater,1642.0,ND,ND,ND
HARRISON RIDGE SUBDIVISION,WAKE,NC4092074,,,,5/9/2023,,ND,1.23,1.18,2023,Groundwater,117.0,ND,ND,ND
HAWKS RIDGE S/D,CATAWBA,NC0118296,,,,10/4/2023,,ND,3.59,ND,2023,Groundwater,155.0,7.04,ND,1.32
HEAVENLY MTN RESORT-VILLAGE,WATAUGA,NC0195176,,,,8/3/2023,,ND,ND,ND,2023,Groundwater,25.0,ND,ND,ND
HERITAGE HILLS,MACON,NC0157150,,,,8/31/2023,,ND,ND,ND,2023,Groundwater,74.0,ND,ND,ND
HICKORY GROVE MHP,GASTON,NC0136240,,,,10/18/2023,,ND,8.31,6.18,2023,Groundwater,69.0,6.34,ND,7.19
HICKORY HAVEN S/D,WAKE,NC0392332,,,,7/10/2023,,ND,ND,0.904,2023,Groundwater,51.0,0.66,ND,ND
HICKORY LANE MHP,ROWAN,NC0180425,,,,9/11/2023,,ND,1.44,1.18,2023,Groundwater,83.0,1.35,ND,0.631
HICKORY VILLAGE MHP,GASTON,NC0136225,,,,8/2/2023,,ND,33.9,29.2,2023,Groundwater,165.0,27.1,2.11,13.8
