"Sample date","Richardson Water Treatment Plant-Potable"
"04/01/2025",45.68
"05/06/2025",32.11
"06/03/2025",33.39
"07/01/2025",37.19
"08/05/2025",39.58
"09/02/2025",37.3
"09/23/2025",51.68
"09/30/2025",43.85
"10/07/2025",52.28
"10/14/2025",66.96
"10/21/2025",42.26
"10/28/2025",42.06
"11/04/2025",61.1
"12/01/2025",22.65
"01/06/2026",46.36
"02/04/2026",53.41
